,store,date,year,quarter,year_month,month,day,season,holiday_flag,temperature_class,temperature,fuel_price,cpi,unemployment,weekly_sales
0,1,2010-02-05,2010,Q1,2010-02,2,Friday,Winter,0,1 Cold,5.727777777777779,2.572,211.0963582,8.106,1643690.9
1,1,2010-02-12,2010,Q1,2010-02,2,Friday,Winter,1,1 Cold,3.6166666666666654,2.548,211.2421698,8.106,1641957.44
2,1,2010-02-19,2010,Q1,2010-02,2,Friday,Winter,0,1 Cold,4.405555555555555,2.514,211.2891429,8.106,1611968.17
3,1,2010-02-26,2010,Q1,2010-02,2,Friday,Winter,0,1 Cold,8.127777777777778,2.561,211.3196429,8.106,1409727.59
4,1,2010-03-05,2010,Q1,2010-03,3,Friday,Spring,0,1 Cold,8.055555555555555,2.625,211.3501429,8.106,1554806.68
5,1,2010-03-12,2010,Q1,2010-03,3,Friday,Spring,0,2 Moderate,14.327777777777776,2.667,211.3806429,8.106,1439541.59
6,1,2010-03-19,2010,Q1,2010-03,3,Friday,Spring,0,2 Moderate,12.544444444444444,2.72,211.215635,8.106,1472515.79
7,1,2010-03-26,2010,Q1,2010-03,3,Friday,Spring,0,2 Moderate,10.805555555555557,2.732,211.0180424,8.106,1404429.92
8,1,2010-04-02,2010,Q2,2010-04,4,Friday,Spring,0,2 Moderate,16.81666666666667,2.719,210.8204499,7.808,1594968.28
9,1,2010-04-09,2010,Q2,2010-04,4,Friday,Spring,0,2 Moderate,18.811111111111114,2.77,210.6228574,7.808,1545418.53
10,1,2010-04-16,2010,Q2,2010-04,4,Friday,Spring,0,2 Moderate,19.066666666666663,2.808,210.4887,7.808,1466058.28
11,1,2010-04-23,2010,Q2,2010-04,4,Friday,Spring,0,2 Moderate,18.244444444444447,2.795,210.4391228,7.808,1391256.12
12,1,2010-04-30,2010,Q2,2010-04,4,Friday,Spring,0,2 Moderate,19.67222222222222,2.78,210.3895456,7.808,1425100.71
13,1,2010-05-07,2010,Q2,2010-05,5,Friday,Spring,0,3 Warm,22.52777777777778,2.835,210.3399684,7.808,1603955.12
14,1,2010-05-14,2010,Q2,2010-05,5,Friday,Spring,0,3 Warm,23.766666666666666,2.854,210.3374261,7.808,1494251.5
15,1,2010-05-21,2010,Q2,2010-05,5,Friday,Spring,0,3 Warm,24.688888888888886,2.826,210.6170934,7.808,1399662.07
16,1,2010-05-28,2010,Q2,2010-05,5,Friday,Spring,0,3 Warm,26.91111111111111,2.759,210.8967606,7.808,1432069.95
17,1,2010-06-04,2010,Q2,2010-06,6,Friday,Summer,0,3 Warm,27.049999999999997,2.705,211.1764278,7.808,1615524.71
18,1,2010-06-11,2010,Q2,2010-06,6,Friday,Summer,0,3 Warm,26.90555555555556,2.668,211.4560951,7.808,1542561.09
19,1,2010-06-18,2010,Q2,2010-06,6,Friday,Summer,0,3 Warm,28.950000000000003,2.637,211.4537719,7.808,1503284.06
20,1,2010-06-25,2010,Q2,2010-06,6,Friday,Summer,0,3 Warm,29.077777777777783,2.653,211.3386526,7.808,1422711.6
21,1,2010-07-02,2010,Q3,2010-07,7,Friday,Summer,0,3 Warm,27.17222222222222,2.669,211.2235333,7.787,1492418.14
22,1,2010-07-09,2010,Q3,2010-07,7,Friday,Summer,0,3 Warm,26.933333333333337,2.642,211.108414,7.787,1546074.18
23,1,2010-07-16,2010,Q3,2010-07,7,Friday,Summer,0,3 Warm,28.41666666666667,2.623,211.1003854,7.787,1448938.92
24,1,2010-07-23,2010,Q3,2010-07,7,Friday,Summer,0,3 Warm,28.533333333333335,2.608,211.2351443,7.787,1385065.2
25,1,2010-07-30,2010,Q3,2010-07,7,Friday,Summer,0,3 Warm,27.68888888888889,2.64,211.3699032,7.787,1371986.6
26,1,2010-08-06,2010,Q3,2010-08,8,Friday,Summer,0,4 Hot,30.64444444444444,2.627,211.5046621,7.787,1605491.78
27,1,2010-08-13,2010,Q3,2010-08,8,Friday,Summer,0,4 Hot,30.555555555555557,2.692,211.6394211,7.787,1508237.76
28,1,2010-08-20,2010,Q3,2010-08,8,Friday,Summer,0,4 Hot,30.36111111111111,2.664,211.6033633,7.787,1513080.49
29,1,2010-08-27,2010,Q3,2010-08,8,Friday,Summer,0,3 Warm,29.56666666666667,2.619,211.5673056,7.787,1449142.92
30,1,2010-09-03,2010,Q3,2010-09,9,Friday,Fall,0,3 Warm,27.338888888888885,2.577,211.5312479,7.787,1540163.53
31,1,2010-09-10,2010,Q3,2010-09,9,Friday,Fall,1,3 Warm,25.938888888888886,2.565,211.4951902,7.787,1507460.69
32,1,2010-09-17,2010,Q3,2010-09,9,Friday,Fall,0,3 Warm,27.83888888888889,2.582,211.5224596,7.787,1430378.67
33,1,2010-09-24,2010,Q3,2010-09,9,Friday,Fall,0,3 Warm,27.188888888888886,2.624,211.5972246,7.787,1351791.03
34,1,2010-10-01,2010,Q4,2010-10,10,Friday,Fall,0,3 Warm,22.16111111111111,2.603,211.6719895,7.838,1453329.5
35,1,2010-10-08,2010,Q4,2010-10,10,Friday,Fall,0,2 Moderate,17.73888888888889,2.633,211.7467544,7.838,1508239.93
36,1,2010-10-15,2010,Q4,2010-10,10,Friday,Fall,0,2 Moderate,19.544444444444448,2.72,211.8137436,7.838,1459409.1
37,1,2010-10-22,2010,Q4,2010-10,10,Friday,Fall,0,3 Warm,21.033333333333335,2.725,211.8612937,7.838,1345454.0
38,1,2010-10-29,2010,Q4,2010-10,10,Friday,Fall,0,3 Warm,20.91111111111111,2.716,211.9088438,7.838,1384209.22
39,1,2010-11-05,2010,Q4,2010-11,11,Friday,Fall,0,2 Moderate,14.855555555555558,2.689,211.9563939,7.838,1551659.28
40,1,2010-11-12,2010,Q4,2010-11,11,Friday,Fall,0,2 Moderate,15.33888888888889,2.728,212.003944,7.838,1494479.49
41,1,2010-11-19,2010,Q4,2010-11,11,Friday,Fall,0,2 Moderate,10.783333333333331,2.771,211.8896737,7.838,1483784.18
42,1,2010-11-26,2010,Q4,2010-11,11,Friday,Fall,1,2 Moderate,18.066666666666663,2.735,211.7484333,7.838,1955624.11
43,1,2010-12-03,2010,Q4,2010-12,12,Friday,Winter,0,1 Cold,9.594444444444447,2.708,211.607193,7.838,1548033.78
44,1,2010-12-10,2010,Q4,2010-12,12,Friday,Winter,0,1 Cold,7.96111111111111,2.843,211.4659526,7.838,1682614.26
45,1,2010-12-17,2010,Q4,2010-12,12,Friday,Winter,0,1 Cold,9.911111111111113,2.869,211.4053124,7.838,1891034.93
46,1,2010-12-24,2010,Q4,2010-12,12,Friday,Winter,0,2 Moderate,11.294444444444444,2.886,211.4051222,7.838,2387950.2
47,1,2010-12-31,2010,Q4,2010-12,12,Friday,Winter,1,1 Cold,9.127777777777778,2.943,211.4049321,7.838,1367320.01
48,1,2011-01-07,2011,Q1,2011-01,1,Friday,Winter,0,1 Cold,9.038888888888891,2.976,211.4047419,7.742,1444732.28
49,1,2011-01-14,2011,Q1,2011-01,1,Friday,Winter,0,1 Cold,1.8888888888888882,2.983,211.4574109,7.742,1391013.96
50,1,2011-01-21,2011,Q1,2011-01,1,Friday,Winter,0,1 Cold,6.688888888888888,3.016,211.8272343,7.742,1327405.42
51,1,2011-01-28,2011,Q1,2011-01,1,Friday,Winter,0,1 Cold,6.572222222222221,3.01,212.1970577,7.742,1316899.31
52,1,2011-02-04,2011,Q1,2011-02,2,Friday,Winter,0,1 Cold,5.7055555555555575,2.989,212.5668812,7.742,1606629.58
53,1,2011-02-11,2011,Q1,2011-02,2,Friday,Winter,1,1 Cold,2.438888888888889,3.022,212.9367046,7.742,1649614.93
54,1,2011-02-18,2011,Q1,2011-02,2,Friday,Winter,0,2 Moderate,14.088888888888889,3.045,213.2478853,7.742,1686842.78
55,1,2011-02-25,2011,Q1,2011-02,2,Friday,Winter,0,2 Moderate,17.166666666666668,3.065,213.535609,7.742,1456800.28
56,1,2011-03-04,2011,Q1,2011-03,3,Friday,Spring,0,2 Moderate,15.32222222222222,3.288,213.8233327,7.742,1636263.41
57,1,2011-03-11,2011,Q1,2011-03,3,Friday,Spring,0,2 Moderate,11.97777777777778,3.459,214.1110564,7.742,1553191.63
58,1,2011-03-18,2011,Q1,2011-03,3,Friday,Spring,0,2 Moderate,17.08888888888889,3.488,214.3627114,7.742,1576818.06
59,1,2011-03-25,2011,Q1,2011-03,3,Friday,Spring,0,3 Warm,21.094444444444445,3.473,214.5999389,7.742,1541102.38
60,1,2011-04-01,2011,Q2,2011-04,4,Friday,Spring,0,2 Moderate,15.094444444444447,3.524,214.8371664,7.682,1495064.75
61,1,2011-04-08,2011,Q2,2011-04,4,Friday,Spring,0,2 Moderate,19.91111111111111,3.622,215.0743939,7.682,1614259.35
62,1,2011-04-15,2011,Q2,2011-04,4,Friday,Spring,0,3 Warm,21.816666666666663,3.743,215.2918561,7.682,1559889.0
63,1,2011-04-22,2011,Q2,2011-04,4,Friday,Spring,0,3 Warm,22.772222222222222,3.807,215.4599053,7.682,1564819.81
64,1,2011-04-29,2011,Q2,2011-04,4,Friday,Spring,0,3 Warm,22.23888888888889,3.81,215.6279544,7.682,1455090.69
65,1,2011-05-06,2011,Q2,2011-05,5,Friday,Spring,0,2 Moderate,18.116666666666667,3.906,215.7960035,7.682,1629391.28
66,1,2011-05-13,2011,Q2,2011-05,5,Friday,Spring,0,3 Warm,24.244444444444444,3.899,215.9640526,7.682,1604775.58
67,1,2011-05-20,2011,Q2,2011-05,5,Friday,Spring,0,2 Moderate,19.79444444444444,3.907,215.7339202,7.682,1428218.27
68,1,2011-05-27,2011,Q2,2011-05,5,Friday,Spring,0,3 Warm,25.4,3.786,215.5037878,7.682,1466046.67
69,1,2011-06-03,2011,Q2,2011-06,6,Friday,Summer,0,3 Warm,28.333333333333332,3.699,215.2736553,7.682,1635078.41
70,1,2011-06-10,2011,Q2,2011-06,6,Friday,Summer,0,3 Warm,28.40555555555555,3.648,215.0435229,7.682,1588948.32
71,1,2011-06-17,2011,Q2,2011-06,6,Friday,Summer,0,4 Hot,30.227777777777774,3.637,214.9980596,7.682,1532114.86
72,1,2011-06-24,2011,Q2,2011-06,6,Friday,Summer,0,3 Warm,28.65555555555555,3.594,215.0910982,7.682,1438830.15
73,1,2011-07-01,2011,Q3,2011-07,7,Friday,Summer,0,3 Warm,29.75,3.524,215.1841368,7.962,1488538.09
74,1,2011-07-08,2011,Q3,2011-07,7,Friday,Summer,0,3 Warm,29.90555555555555,3.48,215.2771754,7.962,1534849.64
75,1,2011-07-15,2011,Q3,2011-07,7,Friday,Summer,0,4 Hot,31.411111111111115,3.575,215.3611087,7.962,1455119.97
76,1,2011-07-22,2011,Q3,2011-07,7,Friday,Summer,0,3 Warm,29.87222222222222,3.651,215.4222784,7.962,1396926.82
77,1,2011-07-29,2011,Q3,2011-07,7,Friday,Summer,0,4 Hot,30.46111111111111,3.682,215.4834482,7.962,1352219.79
78,1,2011-08-05,2011,Q3,2011-08,8,Friday,Summer,0,4 Hot,33.138888888888886,3.684,215.544618,7.962,1624383.75
79,1,2011-08-12,2011,Q3,2011-08,8,Friday,Summer,0,4 Hot,32.644444444444446,3.638,215.6057878,7.962,1525147.09
80,1,2011-08-19,2011,Q3,2011-08,8,Friday,Summer,0,4 Hot,32.18888888888889,3.554,215.6693107,7.962,1530761.43
81,1,2011-08-26,2011,Q3,2011-08,8,Friday,Summer,0,4 Hot,31.088888888888885,3.523,215.7332258,7.962,1464693.46
82,1,2011-09-02,2011,Q3,2011-09,9,Friday,Fall,0,4 Hot,31.016666666666666,3.533,215.7971409,7.962,1550229.22
83,1,2011-09-09,2011,Q3,2011-09,9,Friday,Fall,1,3 Warm,24.444444444444443,3.546,215.861056,7.962,1540471.24
84,1,2011-09-16,2011,Q3,2011-09,9,Friday,Fall,0,3 Warm,26.633333333333333,3.526,216.0410526,7.962,1514259.78
85,1,2011-09-23,2011,Q3,2011-09,9,Friday,Fall,0,3 Warm,24.333333333333332,3.467,216.3758246,7.962,1380020.27
86,1,2011-09-30,2011,Q3,2011-09,9,Friday,Fall,0,3 Warm,26.494444444444444,3.355,216.7105965,7.962,1394561.83
87,1,2011-10-07,2011,Q4,2011-10,10,Friday,Fall,0,3 Warm,20.727777777777778,3.285,217.0453684,7.866,1630989.95
88,1,2011-10-14,2011,Q4,2011-10,10,Friday,Fall,0,3 Warm,22.077777777777776,3.274,217.3552733,7.866,1493525.93
89,1,2011-10-21,2011,Q4,2011-10,10,Friday,Fall,0,2 Moderate,17.616666666666667,3.353,217.5159762,7.866,1502562.78
90,1,2011-10-28,2011,Q4,2011-10,10,Friday,Fall,0,2 Moderate,19.205555555555552,3.372,217.6766791,7.866,1445249.09
91,1,2011-11-04,2011,Q4,2011-11,11,Friday,Fall,0,2 Moderate,12.766666666666664,3.332,217.837382,7.866,1697229.58
